unique_id,win_odds,win,win_return
2016550605055,28.6,0,0.0
2016550618061,77.0,0,0.0
2016550925062,8.9,0,0.0
2016551009022,8.3,0,0.0
2016551022057,17.2,0,0.0
2016551105037,77.9,0,0.0
2016551120045,41.4,0,0.0
2016551127033,11.8,0,0.0
2016551211023,29.7,0,0.0
2016551218041,51.7,0,0.0
2017550102039,30.8,0,0.0
2017550109046,127.8,0,0.0
2017550115031,79.0,0,0.0
2017550129037,142.3,0,0.0
2017550205031,92.0,0,0.0
2017550211032,40.1,0,0.0
2017550218036,54.4,0,0.0
2017550304019,37.3,0,0.0
2017550311031,28.9,0,0.0
2017550326021,19.0,0,0.0
2017550401027,14.8,0,0.0
2017550415027,1.8,1,1.8
2017550423053,22.4,0,0.0
20175505070612,37.9,0,0.0
20175505210510,113.9,0,0.0
2017550603057,33.5,0,0.0
2017550620038,192.5,0,0.0
2018551216098,38.4,0,0.0
20195501070711,152.3,0,0.0
2019550119081,201.1,0,0.0
2024551104099,2.7,0,0.0
2020550719017,1.9,0,0.0
2020550822013,36.8,0,0.0
2020550912083,24.8,0,0.0
2020550927011,24.4,0,0.0
2020551003069,22.6,0,0.0
20205510170911,12.4,0,0.0
2020551106032,29.4,0,0.0
2020551121072,25.4,0,0.0
2020551205026,9.6,0,0.0
2020551219013,3.0,0,0.0
2021550105013,6.0,0,0.0
2021550124011,5.4,1,5.4
2021550211024,20.0,0,0.0
2021550225072,10.5,0,0.0
2021550308032,45.6,0,0.0
2021550322038,27.8,0,0.0
2021550404022,27.5,0,0.0
2021550425032,10.1,0,0.0
20215505090311,3.4,0,0.0
2021550523033,10.7,0,0.0
2021550605024,4.7,0,0.0
2021550619094,3.8,0,0.0
2021550703101,3.8,0,0.0
20215507250410,2.7,0,0.0
2021550822067,19.2,0,0.0
20155503081010,6.2,0,0.0
20155503291010,13.7,0,0.0
20225507031112,31.7,0,0.0
2022550716101,11.3,1,11.3
2022550730092,4.9,0,0.0
2022550813082,7.0,0,0.0
2022550902081,27.7,0,0.0
2022550920095,36.6,0,0.0
2022551008099,164.8,0,0.0
2022550611037,4.8,0,0.0
2022550626043,9.2,0,0.0
2022550715031,8.4,0,0.0
2022550730079,7.0,0,0.0
2022550813064,9.0,0,0.0
2022550902067,30.5,0,0.0
2022550920035,3.0,1,3.0
2022551009021,11.6,0,0.0
2022551028023,12.8,0,0.0
20225511060411,55.0,0,0.0
2022551202019,51.9,0,0.0
2022551218032,85.1,0,0.0
2023550105015,19.6,0,0.0
20235501220411,16.2,0,0.0
2023550205033,149.7,0,0.0
2023550219037,24.8,0,0.0
2023550305044,37.4,0,0.0
2023550319047,9.9,0,0.0
2016550625084,22.4,0,0.0
2016551002078,305.2,0,0.0
2016551119093,96.4,0,0.0
2016551210105,71.8,0,0.0
2017550102081,89.9,0,0.0
2017550114117,62.8,0,0.0
2017550204094,159.3,0,0.0
2023551120011,6.0,0,0.0
2023551210017,20.1,0,0.0
20245506021012,15.7,0,0.0
2024550629021,51.4,0,0.0
20245507140811,102.5,0,0.0
2024550728057,97.6,0,0.0
2023551223021,54.1,0,0.0
2024550113035,85.8,0,0.0
2024550212042,200.9,0,0.0
2024550309012,91.3,0,0.0
2024550331066,166.0,0,0.0
2024550421049,110.4,0,0.0
2024550503022,41.8,0,0.0
2024550602027,28.2,0,0.0
2024550616068,87.9,0,0.0
2024550630045,10.3,1,10.3
2024550727108,16.2,0,0.0
2024550818084,20.2,1,20.2
20245509140811,4.0,0,0.0
20255503300810,9.0,0,0.0
2025550419084,6.6,0,0.0
2025550503079,33.3,0,0.0
2025550517076,83.0,0,0.0
2025550526098,9.9,0,0.0
2025550609052,15.1,0,0.0
2025550629054,22.9,0,0.0
2025550719083,45.2,0,0.0
2025550824072,7.3,0,0.0
2025550907082,7.0,1,7.0
20255509280710,4.4,0,0.0
2025551012079,3.9,0,0.0
2025551026077,2.7,0,0.0
20255511080910,6.7,0,0.0
2025551122063,31.2,0,0.0
2025551220094,48.4,0,0.0
2024550222063,11.6,0,0.0
2024550611051,1.5,1,1.5
20245507090611,1.8,0,0.0
20245511040812,5.2,0,0.0
2024551118094,2.1,0,0.0
2024551207102,2.1,1,2.1
20255504200411,22.5,0,0.0
2025550518077,2.1,1,2.1
20255507220611,10.9,0,0.0
20255509060410,23.5,0,0.0
2025551004093,5.8,0,0.0
2025551102095,6.3,0,0.0
2025551207055,2.8,0,0.0
2015550712071,2.2,0,0.0
2015550726087,5.9,0,0.0
2015550809077,1.6,0,0.0
2015550823079,4.8,0,0.0
2015550905116,5.9,0,0.0
2015550920062,6.1,0,0.0
2015551003017,9.9,0,0.0
2015551012043,3.2,1,3.2
2015551108046,3.6,0,0.0
2015551122038,6.4,0,0.0
2015551212047,1.4,0,0.0
2015551226043,6.5,0,0.0
2016550111037,6.5,0,0.0
2016550130048,10.9,0,0.0
2016550213047,13.9,0,0.0
2016550227084,10.2,0,0.0
2019550210075,4.3,0,0.0
2019550331095,4.6,0,0.0
2019550428071,3.3,0,0.0
20165506250110,9.5,0,0.0
2016550718026,11.3,0,0.0
2016550924045,1.6,0,0.0
2016551008049,3.6,1,3.6
2016551105076,4.5,1,4.5
2016551119117,16.7,0,0.0
2016551211116,52.3,0,0.0
2017550102117,104.7,0,0.0
20175501151210,25.5,0,0.0
2017550205126,13.1,0,0.0
2017550219123,17.9,0,0.0
2017550311109,47.9,0,0.0
